# pathway	keywords
Acute_myeloid_leukemia___Homo_sapiens__human___path_hsa05221	leukemia,human,acute,myeloid
Adherens_junction___Homo_sapiens__human___path_hsa04520	leukemia,human,adherens,junction
Adipocytokine_signaling_pathway___Homo_sapiens__human___path_hsa04920	leukemia,human,adipocytokine
African_trypanosomiasis___Homo_sapiens__human___path_hsa05143	leukemia,human,african,trypanosomiasis
Alcoholism___Homo_sapiens__human___path_hsa05034	leukemia,human,alcoholism
Aldosterone_regulated_sodium_reabsorption___Homo_sapiens__human___path_hsa04960	leukemia,human,aldosterone,sodium,reabsorption
Allograft_rejection___Homo_sapiens__human___path_hsa05330	leukemia,human,allograft
Alzheimer_disease___Homo_sapiens__human___path_hsa05010	leukemia,human,alzheimer
Amoebiasis___Homo_sapiens__human___path_hsa05146	leukemia,human,amoebiasis
Amphetamine_addiction___Homo_sapiens__human___path_hsa05031	leukemia,human,amphetamine
Amyotrophic_lateral_sclerosis__ALS____Homo_sapiens__human___path_hsa05014	leukemia,human,amyotrophic,lateral,sclerosis,als
Antigen_processing_and_presentation___Homo_sapiens__human___path_hsa04612	leukemia,human,antigen
Apoptosis___Homo_sapiens__human___path_hsa04210	leukemia,human,apoptosis
Arrhythmogenic_right_ventricular_cardiomyopathy__ARVC____Homo_sapiens__human___path_hsa05412	leukemia,human,arrhythmogenic,ventricular,cardiomyopathy
Asthma___Homo_sapiens__human___path_hsa05310	leukemia,human,asthma
Autoimmune_thyroid_disease___Homo_sapiens__human___path_hsa05320	leukemia,human,autoimmune,thyroid
Autophagy___animal___Homo_sapiens__human___path_hsa04140	leukemia,human,autophagy
Axon_guidance___Homo_sapiens__human___path_hsa04360	leukemia,human,axon,guidance
Bacterial_invasion_of_epithelial_cells___Homo_sapiens__human___path_hsa05100	leukemia,human,bacterial,epithelial
Basal_cell_carcinoma___Homo_sapiens__human___path_hsa05217	leukemia,human,basal,carcinoma
Bile_secretion___Homo_sapiens__human___path_hsa04976	leukemia,human,bile,secretion
Bladder_cancer___Homo_sapiens__human___path_hsa05219	leukemia,human,bladder,cancer
B_cell_receptor_signaling_pathway___Homo_sapiens__human___path_hsa04662	leukemia,human,b-cell
Calcium_signaling_pathway___Homo_sapiens__human___path_hsa04020	leukemia,human,calcium
Carbohydrate_digestion_and_absorption___Homo_sapiens__human___path_hsa04973	leukemia,human,carbohydrate,digestion,absorption
Cardiac_muscle_contraction___Homo_sapiens__human___path_hsa04260	leukemia,human,cardiac,muscle,contraction
Cell_adhesion_molecules__CAMs____Homo_sapiens__human___path_hsa04514	leukemia,human,adhesion,molecules
Cell_cycle___Homo_sapiens__human___path_hsa04110	leukemia,human,cell cycle
Chagas_disease__American_trypanosomiasis____Homo_sapiens__human___path_hsa05142	leukemia,human,chagas,american,trypanosomiasis
Chemokine_signaling_pathway___Homo_sapiens__human___path_hsa04062	leukemia,human,chemokine
Cholinergic_synapse___Homo_sapiens__human___path_hsa04725	leukemia,human,cholinergic
Chronic_myeloid_leukemia___Homo_sapiens__human___path_hsa05220	leukemia,human,chronic,myeloid
Circadian_entrainment___Homo_sapiens__human___path_hsa04713	leukemia,human,circadian,entrainment
Circadian_rhythm___Homo_sapiens__human___path_hsa04710	leukemia,human,circadian,rhythm
Cocaine_addiction___Homo_sapiens__human___path_hsa05030	leukemia,human,cocaine
Colorectal_cancer___Homo_sapiens__human___path_hsa05210	leukemia,human,colorectal,cancer
Complement_and_coagulation_cascades___Homo_sapiens__human___path_hsa04610	leukemia,human,complement,coagulation,cascade
Cytokine_cytokine_receptor_interaction___Homo_sapiens__human___path_hsa04060	leukemia,human,cytokine
Cytosolic_DNA_sensing_pathway___Homo_sapiens__human___path_hsa04623	leukemia,human,cytosolic
Dilated_cardiomyopathy__DCM____Homo_sapiens__human___path_hsa05414	leukemia,human,dilated,cardiomyopathy
Dopaminergic_synapse___Homo_sapiens__human___path_hsa04728	leukemia,human,dopaminergic
ECM_receptor_interaction___Homo_sapiens__human___path_hsa04512	leukemia,human,ecm,receptor
Endocrine_and_other_factor_regulated_calcium_reabsorption___Homo_sapiens__human___path_hsa04961	leukemia,human,endocrine,calcium,reabsorption
Endocytosis___Homo_sapiens__human___path_hsa04144	leukemia,human,endocytosis
Endometrial_cancer___Homo_sapiens__human___path_hsa05213	leukemia,human,endometrial,cancer
Epithelial_cell_signaling_in_Helicobacter_pylori_infection___Homo_sapiens__human___path_hsa05120	leukemia,human,epithelial,cell,helicobacter
Epstein_Barr_virus_infection___Homo_sapiens__human___path_hsa05169	leukemia,human,epstein-barr
ErbB_signaling_pathway___Homo_sapiens__human___path_hsa04012	leukemia,human,erbb
Fanconi_anemia_pathway___Homo_sapiens__human___path_hsa03460	leukemia,human,fanconi,anemia
Fc_epsilon_RI_signaling_pathway___Homo_sapiens__human___path_hsa04664	leukemia,human,Fc epsilon RI
Fc_gamma_R_mediated_phagocytosis___Homo_sapiens__human___path_hsa04666	leukemia,human,Fc gamma R
Focal_adhesion___Homo_sapiens__human___path_hsa04510	leukemia,human,focal,adhesion
GABAergic_synapse___Homo_sapiens__human___path_hsa04727	leukemia,human,gabaergic
Gap_junction___Homo_sapiens__human___path_hsa04540	leukemia,human,gap,junction
Gastric_acid_secretion___Homo_sapiens__human___path_hsa04971	leukemia,human,gastric,acid,secretion
Glioma___Homo_sapiens__human___path_hsa05214	leukemia,human,glioma
Glutamatergic_synapse___Homo_sapiens__human___path_hsa04724	leukemia,human,glutamatergic
GnRH_signaling_pathway___Homo_sapiens__human___path_hsa04912	leukemia,human,gnrh
Graft_versus_host_disease___Homo_sapiens__human___path_hsa05332	leukemia,human,graft,versus,host
Hedgehog_signaling_pathway___Homo_sapiens__human___path_hsa04340	leukemia,human,hedgehog
Hepatitis_B___Homo_sapiens__human___path_hsa05161	leukemia,human,hepatitis b
Hepatitis_C___Homo_sapiens__human___path_hsa05160	leukemia,human,hepatitis c
Herpes_simplex_infection___Homo_sapiens__human___path_hsa05168	leukemia,human,herpes,simplex
HIF_1_signaling_pathway___Homo_sapiens__human___path_hsa04066	leukemia,human,hif-1
Hippo_signaling_pathway___Homo_sapiens__human___path_hsa04390	leukemia,human,hippo
Human_T_cell_leukemia_virus_1_infection___Homo_sapiens__human___path_hsa05166	leukemia,human,t-cell,virus
Huntington_disease___Homo_sapiens__human___path_hsa05016	leukemia,human,huntington
Hypertrophic_cardiomyopathy__HCM____Homo_sapiens__human___path_hsa05410	leukemia,human,hypertrophic,cardiomyopathy
Influenza_A___Homo_sapiens__human___path_hsa05164	leukemia,human,influenza a
Insulin_signaling_pathway___Homo_sapiens__human___path_hsa04910	leukemia,human,insulin
Intestinal_immune_network_for_IgA_production___Homo_sapiens__human___path_hsa04672	leukemia,human,intestinal,immune,iga
JAK_STAT_signaling_pathway___Homo_sapiens__human___path_hsa04630	leukemia,human,jak-stat
Legionellosis___Homo_sapiens__human___path_hsa05134	leukemia,human,legionellosis
Leishmaniasis___Homo_sapiens__human___path_hsa05140	leukemia,human,leishmaniasis
Leukocyte_transendothelial_migration___Homo_sapiens__human___path_hsa04670	leukemia,human,leukocyte,transendothelial
Long_term_depression___Homo_sapiens__human___path_hsa04730	leukemia,human,depression
