Hippo signaling pathway - Homo sapiens (human)	path:hsa04390	KEGG	ACTG1,YWHAH,SAV1,DLG1,GLI2,DLG3,DLG2,DLG4,DVL3,PARD6G,WNT10A,WNT10B,PARD6B,PARD6A,CSNK1D,CSNK1E,CDH1,MYC,BMP8A,BMP8B,PPP2R2D,CRB1,PPP2R2C,CRB2,STK3,SNAI2,BMP7,BMP6,BMP5,BMP4,BMP2,CCND1,PPP2CA,CCND3,CCND2,TCF7L1,TCF7L2,GSK3B,WWTR1,LLGL1,BMPR2,APC,ACTB,WNT7A,WNT7B,PRKCI,FBXW11,RASSF1,RASSF6,FZD10,WNT4,SERPINE1,AMH,NF2,TCF7,PPP2CB,AREG,FRMD6,AFP,FRMD1,FGF1,WNT5B,WNT5A,WWC1,WNT3A,TGFB1,SMAD4,SMAD7,PPP2R1B,SMAD2,SMAD3,MPP5,FZD1,FZD2,FZD3,FZD4,FZD5,FZD6,FZD7,FZD8,FZD9,CTNNA2,LIMD1,NKD1,TGFBR2,TGFBR1,LEF1,YAP1,LLGL2,LATS2,WNT3,WNT2,WNT1,ID2,WNT6,TP73,ID1,CTGF,WTIP,AMOT,PPP2R1A,TGFB2,TGFB3,BIRC5,BIRC2,CTNNB1,BMPR1A,BMPR1B,SMAD1,MOB1A,SOX2,TEAD2,TEAD1,PATJ,MOB1B,TEAD4,YWHAZ,AXIN2,AXIN1,YWHAQ,GDF7,GDF6,GDF5,DVL2,WNT8A,WNT8B,DVL1,YWHAB,AJUBA,YWHAG,YWHAE,WNT2B,TEAD3,ITGB2,PPP2R2A,PRKCZ,TP53BP2,APC2,PPP2R2B,CTNNA1,LATS1,CTNNA3,PARD3,PPP1CB,PPP1CC,PPP1CA,BTRC,BBC3,SCRIB,WNT9B,WNT9A,WNT16,WNT11
HIF-1 signaling pathway - Homo sapiens (human)	path:hsa04066	KEGG	TIMP1,AKT1,AKT2,AKT3,EGF,LTBR,HKDC1,PIK3CA,PIK3CB,PIK3CD,EDN1,RELA,CUL2,ERBB2,IGF1R,IFNG,HK3,CAMK2G,CAMK2A,CAMK2B,EPO,HK2,ARNT,SLC2A1,TLR4,RBX1,PGK1,CDKN1B,CDKN1A,GAPDH,HIF1A,IFNGR1,IFNGR2,SERPINE1,TFRC,PIK3R3,PIK3R2,PIK3R1,ANGPT2,PDHB,ANGPT1,ANGPT4,NPPA,HK1,IGF1,VEGFA,EIF4E,EGLN3,EGLN2,EGLN1,HMOX1,INS,MAP2K2,EIF4EBP1,CREBBP,MKNK2,MKNK1,MAP2K1,RPS6,ELOB,ELOC,FLT1,TEK,STAT3,RPS6KB1,RPS6KB2,MAPK3,MAPK1,NFKB1,PDHA2,PDHA1,IL6R,ENO1,ENO2,ENO3,ENO4,EP300,PLCG2,PLCG1,IL6,EIF4E1B,EGFR,VHL,INSR,CAMK2D,PFKL,TF,LDHA,NOS2,NOS3,PRKCA,PRKCB,PRKCG,CYBB,ALDOA,EIF4E2,PFKFB3,PDK1,MTOR,BCL2
Tight junction - Homo sapiens (human)	path:hsa04530	KEGG	SYNPO,ACTG1,HSPA4,PRKAG1,PRKAG3,STK11,EPB41L4B,MYL6,RAPGEF6,TUBA8,MYL2,RAPGEF2,CLDN11,CLDN16,MYL9,DLG1,TUBA3C,DLG2,TUBA3E,TUBA3D,TIAM1,PARD6G,MAP3K1,CACNA1D,PARD6B,PARD6A,MPP4,MAGI1,MARVELD2,ERBB2,PRKAG2,ARHGEF18,PPP2R2D,PPP2R2A,CRB3,PPP2R2B,CGNL1,GATA4,SYMPK,CCND1,PPP2CA,PPP2CB,CLDN5,ARHGAP17,RUNX1,ACTB,CFTR,YBX3,PRKCI,CD1D,AFDN,CD1B,CD1C,CD1A,MYH15,CD1E,TUBA1C,TUBA1B,TUBA1A,PRKAB1,JUN,CLDN8,CLDN9,NF2,CLDN1,CLDN2,CLDN3,CLDN4,MPDZ,CLDN6,CLDN7,RAB8B,PRKAB2,JAM2,JAM3,BVES,DLG3,RAB8A,RHOA,F11R,TUBAL3,PCNA,CDK4,CDC42,ACTR3,ACTR2,MYH10,MYH11,CLDN10,MYH13,MYH14,CLDN17,CLDN14,CLDN15,ARHGEF2,CLDN18,CLDN19,RAP1A,CTTN,MAPK10,MPP5,MAP3K5,MYH2,MYH3,MYH1,MYH4,CGN,MYH8,MYH9,NEDD4,RAB13,MAPK9,SRC,MARVELD3,RDX,OCLN,WAS,MAPK8,TJP2,TJP3,TJP1,LLGL2,MYL12B,MYL12A,LLGL1,MICALL2,ACTR3C,ACTR3B,WASL,PRKACG,PRKACA,PRKACB,MYL6B,AMOT,AMOTL1,PPP2R1A,PPP2R1B,AMOTL2,RAP2C,IGSF5,PRKAA2,PRKAA1,MSN,MAP2K7,EZR,PATJ,SLC9A3R1,WHAMM,HCLS1,ITGB1,RAC1,CLDN23,CLDN22,CLDN20,PRKCE,CLDN25,CLDN24,PRKCZ,PPP2R2C,TUBA4A,VASP,TJAP1,ACTN1,PARD3,MYH7B,ACTN4,ROCK1,ROCK2,SCRIB,NEDD4L
Human T-cell leukemia virus 1 infection - Homo sapiens (human)	path:hsa05166	KEGG	BCL2L1,EGR1,PPP3R2,PPP3R1,BUB1B,NRAS,IKBKB,AKT1,B2M,AKT3,IKBKG,CANX,DLG1,GPS2,RAN,MAP3K3,PIK3CB,MAP3K1,PIK3CD,ANAPC10,TNFRSF13C,ESPL1,PIK3R3,MYC,VAC14,ZFP36,PIK3R2,CDKN2B,HLA-DPB1,CDKN2A,ADCY5,HLA-DRB3,CREB5,HLA-DRB1,CREB3,SLC25A6,HLA-DRB4,HLA-DRB5,KRAS,ADCY4,FDPS,ADCY6,ADCY7,ADCY1,ADCY2,ADCY3,CCND1,CCND3,CCND2,ADCY8,ADCY9,SLC2A1,PTEN,ELK1,ELK4,MAPK10,CD3D,CD3E,CD3G,NFATC1,NFATC2,NFATC3,NFATC4,HLA-C,HLA-B,CDKN1A,NFKBIA,HLA-G,HLA-F,HLA-E,KAT5,CRTC1,PPP3CA,CRTC2,SLC25A31,CSF2,IL1R2,IL1R1,XPO1,CCNE2,CDC16,BUB3,EGR2,CCNE1,JUN,STAT5A,HLA-DQB1,JAK3,PIK3R1,JAK1,IL2,CHEK2,CDK2,CHEK1,LTBR,RELB,TCF3,FOS,CHUK,TRRAP,AKT2,HRAS,ANAPC1,ANAPC2,ANAPC5,ANAPC4,ANAPC7,TBPL2,TBPL1,RELA,TP53,TNFRSF1A,CDC27,TBP,CDC23,CDC20,ITGAL,PIK3CA,CDK4,IL15RA,LCK,CREBBP,CRTC3,SMAD4,ANAPC11,ATM,SMAD2,SMAD3,CD4,XIAP,MAD2L1,ATR,POLB,VDAC3,VDAC2,VDAC1,SPI1,MAPK3,MAPK1,FOSL1,ICAM1,PTTG1,NFKB2,MAPK9,RANBP1,HLA-A,RANBP3,TGFBR2,TGFBR1,SRF,KAT2B,LTA,KAT2A,NFKB1,EP300,TSPO,MAPK8,IL2RA,IL2RB,MAP2K2,PTTG2,IL15,IL6,STAT5B,PRKACG,PRKACA,HLA-DOA,HLA-DOB,PRKACB,HLA-DPA1,TGFB1,TGFB2,TGFB3,CREB1,CDKN2C,BAX,NFYB,MAP2K1,MAP2K4,PPP3CB,HLA-DRA,CCNA2,CCNA1,MAD1L1,TLN2,RB1,TLN1,ETS2,IL2RG,ETS1,MSX1,MSX2,TERT,ITGB2,CDC26,CD40,TNF,SLC25A5,ATF4,SLC25A4,NRP1,CCNB2,PPP3CC,E2F3,E2F2,E2F1,CALR,CREB3L2,CREB3L3,CREB3L1,MAP3K14,CREB3L4,MMP7,ATF6B,ATF2,HLA-DMB,HLA-DQA1,HLA-DQA2,HLA-DMA
Leukocyte transendothelial migration - Homo sapiens (human)	path:hsa04670	KEGG	ACTG1,CLDN10,RAPGEF4,MYL7,PTK2B,MYL5,MYL2,RAPGEF3,MYL9,PECAM1,PIK3CA,PIK3CB,NCF4,PIK3CD,THY1,CDH5,CXCL12,MYL12B,PTPN11,ACTB,CTNND1,ITGA4,ARHGAP5,CLDN8,CLDN9,PIK3R3,PIK3R2,PIK3R1,CLDN1,CLDN2,CLDN3,CLDN4,CLDN5,CLDN6,CLDN7,PRKCB,JAM2,JAM3,MYL10,RHOH,PRKCA,PRKCG,RHOA,BCAR1,F11R,CD99,VAV1,VAV3,VAV2,ITGAL,ITGAM,ESAM,NCF2,NCF1,CLDN11,CLDN16,CLDN17,CLDN14,CLDN15,CLDN18,CLDN19,RAP1B,RAP1A,MAPK14,MAPK11,MAPK12,MAPK13,GNAI2,GNAI3,GNAI1,ICAM1,SIPA1,RASSF5,VCAM1,OCLN,ITK,MYL12A,PLCG2,AFDN,CDC42,PTK2,ROCK2,CTNNB1,MSN,PLCG1,MYLPF,TXK,PXN,CXCR4,ITGB1,ITGB2,RAC2,RAC1,CLDN23,CLDN22,CLDN20,VCL,CLDN25,CLDN24,CYBB,CYBA,VASP,CTNNA1,CTNNA2,CTNNA3,ACTN1,ACTN4,ROCK1,EZR,ARHGAP35,MMP9,MMP2
Chagas disease (American trypanosomiasis) - Homo sapiens (human)	path:hsa05142	KEGG	IKBKB,AKT1,AKT2,AKT3,IKBKG,PIK3CA,PIK3CB,PIK3CD,FADD,RELA,IRAK1,IRAK4,IFNG,PPP2R2D,PPP2R2A,PPP2R2C,PPP2R2B,FASLG,ADCY1,PPP2CA,CXCL8,PPP2CB,C1QC,C1QB,C1QA,TLR2,TLR6,TLR4,TLR9,CD3D,CD3E,CCL3L1,CD3G,CCL2,CCL3,CCL5,GNAO1,NFKBIA,IFNGR1,IFNGR2,SERPINE1,JUN,PIK3R3,PIK3R2,PIK3R1,MYD88,PLCB1,PLCB2,PLCB3,PLCB4,FOS,CHUK,GNAQ,GNAS,CCL3L3,GNAL,ACE,PPP2R1A,PPP2R1B,SMAD2,SMAD3,MAPK14,MAPK10,MAPK11,MAPK12,MAPK13,IL1B,GNAI2,GNAI3,GNAI1,TICAM1,MAPK3,IFNB1,CFLAR,MAPK1,C3,NFKB1,MAPK8,MAPK9,TGFBR2,TGFBR1,BDKRB2,IL10,TNFRSF1A,IL6,IL2,TGFB1,TGFB2,TGFB3,IL12B,IL12A,CD247,MAP2K4,FAS,NOS2,TRAF6,TNF,CALR,CASP8,GNA14,GNA15,GNA11
Cell adhesion molecules (CAMs) - Homo sapiens (human)	path:hsa04514	KEGG	NRCAM,CD34,GLG1,TIGIT,VTCN1,CD226,L1CAM,CD40LG,PECAM1,NTNG1,NTNG2,SPN,CDH1,CDH3,CDH2,CDH5,CDH4,CD8A,HLA-DPB1,CD28,LRRC4,HLA-DRB3,HLA-DRB1,HLA-DRB4,HLA-DRB5,NEGR1,LRRC4C,LRRC4B,NRXN3,NRXN2,NRXN1,MAG,ITGA8,ITGA9,HLA-C,HLA-B,HLA-A,HLA-G,HLA-F,HLA-E,CNTN2,CNTN1,ICOSLG,MADCAM1,CLDN8,CLDN9,HLA-DQB1,ITGB8,CLDN1,CLDN2,CLDN3,CLDN4,CLDN5,CLDN6,CLDN7,CTLA4,NLGN4X,JAM2,JAM3,NFASC,F11R,CD99,SDC1,SDC2,SDC3,SDC4,ITGAV,ITGAL,ITGAM,ESAM,CD80,MPZ,CLDN10,CLDN11,CLDN16,CLDN17,CLDN14,CLDN15,CLDN18,CLDN19,CD4,CD6,CD2,NCAM1,NCAM2,PVR,MPZL1,ALCAM,CD86,NECTIN2,NECTIN3,NECTIN1,ICAM3,ICAM2,ICAM1,CADM3,PDCD1,ICOS,NLGN2,NLGN3,NLGN1,ITGA4,ITGA6,OCLN,CD8B,HLA-DOA,HLA-DOB,CD274,HLA-DPA1,CADM1,CD276,CDH15,CD58,VCAN,CNTNAP1,CNTNAP2,HLA-DMB,HLA-DRA,SELPLG,NEO1,VCAM1,CD22,ITGB1,ITGB2,ITGB7,CLDN23,CLDN22,NLGN4Y,CLDN20,CD40,CLDN25,CLDN24,PDCD1LG2,SELL,SELE,SIGLEC1,PTPRF,PTPRC,PTPRM,SELP,HLA-DQA1,HLA-DQA2,HLA-DMA
Wnt signaling pathway - Homo sapiens (human)	path:hsa04310	KEGG	LRP5,RYK,PPP3R1,INVS,PPP3R2,DVL3,WNT10A,WNT10B,MAP3K7,CSNK2A2,CSNK1E,CSNK2A1,MYC,CUL1,CAMK2D,DAAM1,DAAM2,CAMK2G,CAMK2A,CAMK2B,BAMBI,CSNK2A3,ROR2,ROR1,CCND1,RBX1,CCND3,CCND2,TCF7L1,TCF7L2,GSK3B,APC,CTBP2,WNT7A,WNT7B,NFATC1,NFATC2,NFATC3,NFATC4,TCF7,WIF1,VANGL1,VANGL2,RUVBL1,CHD8,WISP1,JUN,SOX17,NLK,PLCB1,PLCB2,PLCB3,PLCB4,CXXC4,SENP2,PPARD,CTBP1,RHOA,NOTUM,CSNK1A1,SKP1,FRAT1,FRAT2,WNT5B,WNT5A,CREBBP,WNT3A,SOST,SMAD4,SMAD3,FBXW11,MAPK10,FZD1,FZD2,FZD3,FZD4,FZD5,FZD6,FZD7,FZD8,FZD9,PSEN1,FOSL1,MAPK8,MAPK9,NKD1,NKD2,SIAH1,SERPINF1,TP53,LEF1,EP300,SFRP2,PORCN,CSNK1A1L,SFRP1,LRP6,TBL1XR1,SFRP4,SFRP5,WNT3,WNT2,WNT1,WNT6,WNT4,PRKACG,PRKACA,PRKACB,CSNK2B,PPP3CA,CTNNB1,CER1,CACYBP,FZD10,PRICKLE1,PRICKLE2,PRICKLE3,PRICKLE4,AXIN2,AXIN1,DVL2,WNT8A,WNT8B,DVL1,WNT2B,RAC2,RAC3,RAC1,PRKCA,PRKCB,PRKCG,GPC4,WNT16,APC2,TBL1X,TBL1Y,DKK4,BTRC,DKK2,ROCK2,DKK1,WNT9B,WNT9A,CTNNBIP1,MMP7,PPP3CB,PPP3CC,WNT11
PI3K-Akt signaling pathway - Homo sapiens (human)	path:hsa04151	KEGG	THBS2,STK11,IFNAR2,IFNAR1,PIK3CA,PIK3CB,PIK3CD,PIK3CG,IFNA13,PIK3R3,IFNA10,IFNA17,IFNA16,IFNA14,IGF1R,PPP2R2D,PPP2R2A,PPP2R2C,PPP2R2B,CSF3R,VEGFA,CCND1,CCND3,CCND2,PTEN,ITGA8,ITGA9,CDKN1B,CDKN1A,ITGA3,ITGA4,ITGA5,HSP90B1,ITGA7,MTCP1,JAK2,JAK3,JAK1,COL1A2,EREG,CHUK,VEGFD,COL4A5,COL4A4,COL4A3,COL4A2,VEGFC,VEGFB,ITGAV,INS,VWF,CD19,COL2A1,PIK3AP1,TSC1,CDC37,LAMA1,LAMA2,LAMA3,LAMA4,LAMA5,RXRA,IL3RA,IL2RA,IL2RB,IL2RG,INSR,IFNA21,SPP1,BRCA1,EGFR,BAD,NGFR,PGF,ITGB1,RPTOR,ITGB3,NOS3,ITGB5,ITGB4,ITGB7,ITGB6,ITGB8,HGF,TCL1B,TCL1A,EIF4E2,PCK2,PCK1,GHR,PPP2R3B,PPP2R3C,PPP2R3A,IKBKB,IKBKG,FGFR4,PRL,GNG10,GNG11,GNG12,GNG13,RELN,RELA,KITLG,GH1,FN1,CSF1,CSF3,GNG7,GNG4,GNG5,GNG2,GNG3,GNG8,NGF,LAMB1,LAMB3,LAMB2,IBSP,LAMB4,CCNE2,CCNE1,ANGPT2,ANGPT1,ANGPT4,IGF2,IGF1,EIF4E,EIF4B,EPOR,PDGFRB,PDGFRA,CHAD,RPS6KB1,FLT4,FLT3,FLT1,AREG,ITGA2B,CSF1R,RPS6KB2,FGF18,ITGA1,ITGA2,NTF3,NTF4,GNB5,GNB4,GNB1,GNB3,VTN,MTOR,ITGA6,IRS1,C8orf44-SGK3,CDK2,CRTC2,CDK4,CDK6,EIF4E1B,LPAR2,LPAR3,LPAR1,LPAR6,LPAR4,LPAR5,PTK2,PRKAA2,PRKAA1,MCL1,CASP9,YWHAZ,IL6R,YWHAQ,YWHAH,YWHAB,YWHAG,YWHAE,RAC1,PRKCA,NR4A1,CHRM2,CHRM1,GNB2,ATF6B,COL6A2,BCL2,MLST8,MAGI2,MAGI1,ERBB2,ERBB3,ERBB4,CREB5,CREB3,CREB1,MDM2,FGFR2,FGFR3,FGFR1,EPO,SYK,KIT,F2R,HRAS,ITGA10,ITGA11,THEM4,PRLR,EGF,LAMC2,LAMC3,LAMC1,TP53,COL4A6,EIF4EBP1,PPP2R5D,PPP2R5E,FGF22,PPP2R5A,FGF20,PPP2R5C,COL4A1,RPS6,RAF1,IFNB1,KDR,COMP,IL7R,EFNA4,EFNA3,EFNA2,EFNA1,FLT3LG,SGK3,SGK2,SGK1,IL6,IL7,IL4,IL2,IL3,COL1A1,RHEB,PPP2R1A,PPP2R1B,FOXO3,MAP2K2,MAP2K1,PKN1,PKN3,PKN2,CSH2,CSH1,FGF23,PPP2R5B,COL6A1,COL6A3,FGF21,COL6A5,COL6A6,BCL2L1,AKT1,AKT2,AKT3,BDNF,NTRK1,NTRK2,HSP90AB1,MYC,MYB,DDIT4,FASLG,KRAS,GH2,PPP2CA,PPP2CB,GSK3B,TLR2,GRB2,TLR4,G6PC3,G6PC2,TGFA,TSC2,THBS4,TNXB,THBS3,THBS1,PIK3R6,PIK3R5,OSM,PIK3R2,PIK3R1,IL4R,GYS1,GYS2,FGF9,FGF8,FGF7,FGF6,FGF5,FGF4,FGF3,FGF2,FGF1,G6PC,EPHA2,TEK,MAPK3,FGF19,MAPK1,NFKB1,FGF10,FGF17,FGF16,RBL2,COL9A2,COL9A3,COL9A1,PHLPP2,PHLPP1,IFNA8,SOS2,SOS1,IFNA2,IFNA1,IFNA7,IFNA6,IFNA5,IFNA4,MET,HSP90AA1,BCL2L11,NRAS,OSMR,EFNA5,PDGFA,PDGFB,PDGFC,PDGFD,GNGT1,TNR,TNC,ATF4,TNN,CREB3L2,CREB3L3,CREB3L1,GNGT2,CREB3L4,PDPK1,ATF2
Alcoholism - Homo sapiens (human)	path:hsa05034	KEGG	HIST1H4C,HIST1H4B,HIST1H4A,HIST1H4G,HIST1H4F,HIST1H4E,HIST1H4D,HIST1H4K,HIST1H4J,HIST1H4I,HIST1H4H,HIST1H4L,ARAF,BDNF,CALM2,CALM3,CALM1,GNG10,GNG11,H2AFB1,GNG13,GRIN1,SHC4,SHC1,SHC2,SHC3,CREB5,CREB3,CREB1,HIST3H2BB,H2BFM,KRAS,ADCY5,H2AFV,CAMKK2,H2AFX,PKIA,H2AFZ,GNG7,GNG4,GNG5,GNG2,GNG3,HDAC11,HDAC10,HIST3H3,GNG8,GNAO1,HRAS,H2AFY,HIST1H2BB,SLC29A1,CREB3L4,CRH,H2AFB3,ADORA2A,ADORA2B,PPP1R1B,RAF1,GRB2,H3F3C,H3F3B,H3F3A,NPY,GRIN2A,HIST1H2BD,HIST1H2BE,HIST1H2BF,HIST1H2BG,HIST2H3C,HIST1H2BA,HIST2H3A,HIST1H2BC,HIST1H2BL,HIST1H2BM,HIST1H2BN,HIST1H2BO,HIST1H2BH,HIST1H2BI,HIST1H2BJ,HIST1H2BK,GNAS,CALML3,CALML6,CALML5,CALML4,MAOB,CAMKK1,HIST2H3D,H2AFJ,SLC18A2,SLC18A1,HIST3H2A,HDAC1,HDAC3,HDAC2,HDAC5,HDAC4,HDAC7,HDAC6,HDAC9,HDAC8,FOSB,H2AFY2,H2AFB2,DDC,NTRK2,GNAI2,GNAI3,GNAI1,MAPK3,MAPK1,HIST2H2AA3,HIST2H2AA4,PDYN,GNB5,GNB4,GNB1,CAMK4,GNB3,GNB2,H2BFWT,SOS2,SOS1,HAT1,PRKACA,HIST2H2BF,HIST2H2BE,HIST1H2AM,HIST1H2AL,MAP2K1,HIST1H2AI,HIST1H2AH,HIST1H2AK,HIST1H2AJ,HIST1H2AE,HIST1H2AD,HIST1H2AG,HIST2H4B,HIST1H2AC,HIST2H4A,GRIN2B,HIST4H4,SLC6A3,GRIN2C,HIST1H2AA,NRAS,MAOA,GRIN3A,GRIN3B,TH,HIST1H2AB,BRAF,GRIN2D,HIST1H3B,HIST1H3C,HIST1H3A,HIST1H3F,HIST1H3G,HIST1H3D,HIST1H3E,HIST1H3J,HIST1H3H,HIST1H3I,HIST2H2AB,HIST2H2AC,PPP1CB,PPP1CC,PPP1CA,DRD2,DRD1,CREB3L2,CREB3L3,CREB3L1,GNGT2,GNGT1,ATF4,ATF6B,GNG12,ATF2
